name,ngram,textfreq,corpfreq,diff,diffsum,length, ngram,etc
beowulf.txt,ea,0.01684201,0.01641587,0.00042614,0.00042614,111210,ge,0.01634745,0.01592455,0.0004229,0.00084905,111210,on,0.01571801,0.01616333,0.00044532,0.00129436,111210,an,0.01508857,0.01912302,0.00403445,0.00532881,111210,eo,0.01403651,0.01481712,0.00078061,0.00610943,111210,,eal,0.00445104,0.00406614,0.0003849,0.0003849,111210,eor,0.00413632,0.00432457,0.00018825,0.00057315,111210,ond,0.00408237,0.00331933,0.00076303,0.00133618,111210,ear,0.00407337,0.00363574,0.00043763,0.00177382,111210,ege,0.00333603,0.0032309,0.00010513,0.00187895,111210,,eald,0.00154662,0.00124303,0.00030359,0.00030359,111210,þæth,0.00127686,0.00094628,0.00033059,0.00063418,111210,ende,0.0012409,0.00117523,6.567e-05,0.00069985,111210,eard,0.00121392,0.00100622,0.0002077,0.00090755,111210,unde,0.00118694,0.00067605,0.00051089,0.00141844,111210,,
caedmon's hymn west saxon version.txt,ea,0.02990033,0.01641587,0.01348447,0.01348447,301,eo,0.02325581,0.01481712,0.00843869,0.02192316,301,an,0.01993355,0.01912302,0.00081054,0.02273369,301,te,0.01993355,0.00758593,0.01234763,0.03508132,301,on,0.0166113,0.01616333,0.00044797,0.03552929,301,,ear,0.01328904,0.00363574,0.00965329,0.00965329,301,ard,0.00996678,0.00101703,0.00894975,0.01860305,301,hte,0.00996678,0.00219324,0.00777354,0.02637659,301,iht,0.00996678,0.00216769,0.00779909,0.03417568,301,nhe,0.00664452,0.00098853,0.00565599,0.03983167,301,,eard,0.00996678,0.00100622,0.00896056,0.00896056,301,heof,0.00664452,0.00059253,0.00605199,0.01501255,301,eofo,0.00664452,0.00052473,0.00611979,0.02113234,301,ofon,0.00664452,0.00047952,0.00616499,0.02729734,301,eswe,0.00664452,0.00035866,0.00628586,0.03358319,301,,
christ a b c.txt,on,0.01889646,0.01616333,0.00273313,0.00273313,60170,ea,0.01567226,0.01641587,0.0007436,0.00347673,60170,ge,0.01553931,0.01592455,0.00038524,0.00386198,60170,eo,0.01538973,0.01481712,0.00057261,0.00443459,60170,an,0.01386073,0.01912302,0.00526229,0.00969688,60170,,ond,0.006116,0.00331933,0.00279667,0.00279667,60170,eor,0.00442081,0.00432457,9.624e-05,0.00289291,60170,ear,0.0040718,0.00363574,0.00043605,0.00332897,60170,þæt,0.00363969,0.00309922,0.00054046,0.00386943,60170,eon,0.00352335,0.00307662,0.00044673,0.00431616,60170,,eond,0.00186139,0.0011202,0.00074119,0.00074119,60170,ende,0.00159548,0.00117523,0.00042025,0.00116144,60170,onne,0.00156224,0.00112413,0.00043811,0.00159955,60170,weor,0.00154562,0.00110448,0.00044114,0.00204069,60170,þurh,0.00132957,0.00063576,0.0006938,0.00273449,60170,,
christ and satan.txt,an,0.02142095,0.01912302,0.00229793,0.00229793,26236,eo,0.01501753,0.01481712,0.00020041,0.00249834,26236,on,0.01456015,0.01616333,0.00160318,0.00410152,26236,ea,0.0132261,0.01641587,0.00318976,0.00729129,26236,nd,0.01265437,0.01238511,0.00026926,0.00756055,26236,,and,0.00632718,0.00435306,0.00197412,0.00197412,26236,þæt,0.00430706,0.00309922,0.00120783,0.00318195,26236,iht,0.00346852,0.00216769,0.00130083,0.00448278,26236,hte,0.00346852,0.00219324,0.00127528,0.00575806,26236,ear,0.00308736,0.00363574,0.00054838,0.00630644,26236,,ihte,0.00198201,0.00093448,0.00104753,0.00104753,26236,riht,0.00190578,0.00105142,0.00085436,0.00190189,26236,drih,0.00182955,0.00082836,0.00100119,0.00290307,26236,hten,0.00156274,0.00085587,0.00070686,0.00360994,26236,ende,0.00144839,0.00117523,0.00027316,0.0038831,26236,,
daniel.txt,an,0.01947628,0.01912302,0.00035326,0.00035326,27572,ge,0.01468881,0.01592455,0.00123573,0.001589,27572,ea,0.01439867,0.01641587,0.0020172,0.0036062,27572,de,0.01385464,0.01264649,0.00120815,0.00481435,27572,on,0.01338314,0.01616333,0.00278019,0.00759453,27572,,and,0.00580299,0.00435306,0.00144992,0.00144992,27572,þæt,0.00438851,0.00309922,0.00128929,0.00273921,27572,ode,0.00391702,0.00226006,0.00165696,0.00439617,27572,ear,0.00355433,0.00363574,8.141e-05,0.00447758,27572,eor,0.00344552,0.00432457,0.00087904,0.00535663,27572,,wear,0.00195851,0.00081559,0.00114292,0.00114292,27572,þæth,0.00155955,0.00094628,0.00061328,0.0017562,27572,riht,0.00152328,0.00105142,0.00047187,0.00222807,27572,odes,0.00134194,0.00062495,0.00071699,0.00294505,27572,eand,0.00134194,0.00101899,0.00032295,0.00326801,27572,,
deor.txt,eo,0.01896067,0.01481712,0.00414355,0.00414355,1424,de,0.01685393,0.01264649,0.00420745,0.008351,1424,ea,0.01615169,0.01641587,0.00026418,0.00861518,1424,on,0.01615169,0.01616333,1.164e-05,0.00862682,1424,eþ,0.01544944,0.00519518,0.01025426,0.01888108,1424,,þæt,0.00983146,0.00309922,0.00673224,0.00673224,1424,deþ,0.00702247,0.00080871,0.00621376,0.012946,1424,eod,0.00561798,0.00107598,0.00454199,0.017488,1424,swa,0.00561798,0.00151424,0.00410374,0.02159174,1424,eþæ,0.00561798,0.00131575,0.00430223,0.02589397,1424,,ofer,0.00491573,0.00086963,0.0040461,0.0040461,1424,eode,0.00491573,0.00042253,0.0044932,0.0085393,1424,þæso,0.00421348,3.439e-05,0.00417909,0.01271839,1424,æsof,0.00421348,3.243e-05,0.00418106,0.01689945,1424,sofe,0.00421348,6.78e-05,0.00414568,0.02104513,1424,,
durham.txt,ðe,0.02210663,0.00339107,0.01871557,0.01871557,769,ge,0.02210663,0.01592455,0.00618208,0.02489765,769,eo,0.01820546,0.01481712,0.00338834,0.02828599,769,nd,0.01560468,0.01238511,0.00321958,0.03150556,769,ea,0.01560468,0.01641587,0.00081118,0.03231675,769,,and,0.01040312,0.00435306,0.00605006,0.00605006,769,nge,0.00650195,0.00261479,0.00388716,0.00993722,769,wun,0.00520156,0.00064166,0.0045599,0.01449712,769,eor,0.00520156,0.00432457,0.00087699,0.01537412,769,dðe,0.00520156,3.537e-05,0.00516619,0.0205403,769,,breo,0.00390117,0.0001356,0.00376557,0.00376557,769,umge,0.00390117,0.00044218,0.00345899,0.00722455,769,onge,0.00390117,0.00062004,0.00328113,0.01050568,769,andð,0.00390117,8.254e-05,0.00381863,0.01432431,769,inðe,0.00390117,5.9e-06,0.00389527,0.01821959,769,,
elene.txt,ge,0.01795494,0.01592455,0.00203039,0.00203039,46561,on,0.01700994,0.01616333,0.00084661,0.00287701,46561,an,0.01464745,0.01912302,0.00447557,0.00735257,46561,eo,0.01447563,0.01481712,0.00034149,0.00769406,46561,ea,0.01355211,0.01641587,0.00286375,0.01055781,46561,,ond,0.00498271,0.00331933,0.00166338,0.00166338,46561,ear,0.00384442,0.00363574,0.00020868,0.00187205,46561,eor,0.00332897,0.00432457,0.0009956,0.00286766,46561,eon,0.00330749,0.00307662,0.00023087,0.00309852,46561,nde,0.00289942,0.00284177,5.765e-05,0.00315617,46561,,eond,0.00161079,0.0011202,0.00049059,0.00049059,46561,þurh,0.00156784,0.00063576,0.00093207,0.00142266,46561,ende,0.00131011,0.00117523,0.00013488,0.00155754,46561,ondþ,0.00115977,0.00036554,0.00079423,0.00235177,46561,ning,0.00111681,0.00057681,0.00054001,0.00289178,46561,,
exodus.txt,an,0.01587695,0.01912302,0.00324607,0.00324607,20155,ge,0.01562888,0.01592455,0.00029567,0.00354174,20155,on,0.01543041,0.01616333,0.00073292,0.00427465,20155,eo,0.01503349,0.01481712,0.00021637,0.00449102,20155,ea,0.0140908,0.01641587,0.00232507,0.00681609,20155,,and,0.00401885,0.00435306,0.00033421,0.00033421,20155,eor,0.00387001,0.00432457,0.00045456,0.00078877,20155,eal,0.00302654,0.00406614,0.00103959,0.00182836,20155,ode,0.00302654,0.00226006,0.00076649,0.00259485,20155,ges,0.00302654,0.0024615,0.00056505,0.0031599,20155,,ofer,0.0015877,0.00086963,0.00071807,0.00071807,20155,riht,0.00138923,0.00105142,0.00033782,0.00105588,20155,folc,0.00138923,0.00043727,0.00095196,0.00200784,20155,wear,0.00114116,0.00081559,0.00032557,0.00233341,20155,eald,0.00109154,0.00124303,0.00015149,0.0024849,20155,,
fragments of psalms psalm 101.txt,me,0.0239521,0.00548407,0.01846802,0.01846802,167,mi,0.01796407,0.00399539,0.01396869,0.03243671,167,in,0.01796407,0.00691479,0.01104928,0.04348599,167,ne,0.01796407,0.01321248,0.00475159,0.04823758,167,en,0.01796407,0.0103992,0.00756487,0.05580245,167,,min,0.01796407,0.00111529,0.01684878,0.01684878,167,one,0.01197605,0.00114477,0.01083128,0.02768006,167,nge,0.01197605,0.00261479,0.00936126,0.03704133,167,ebe,0.01197605,0.00105928,0.01091677,0.0479581,167,geh,0.01197605,0.00138256,0.01059348,0.05855158,167,,domi,0.00598802,4.127e-05,0.00594675,0.00594675,167,omin,0.00598802,5.306e-05,0.00593496,0.01188172,167,mine,0.00598802,0.00033901,0.00564902,0.01753073,167,inee,0.00598802,4.815e-05,0.00593987,0.02347061,167,neex,0.00598802,1.97e-06,0.00598606,0.02945666,167,,
