name,ngram,textfreq,corpfreq,diff,diffsum,length, ngram,etc
elene.txt,ge,0.01795494,0.01592455,0.00203039,0.00203039,46561,on,0.01700994,0.01616333,0.00084661,0.00287701,46561,an,0.01464745,0.01912302,0.00447557,0.00735257,46561,eo,0.01447563,0.01481712,0.00034149,0.00769406,46561,ea,0.01355211,0.01641587,0.00286375,0.01055781,46561,
exodus.txt,an,0.01587695,0.01912302,0.00324607,0.00324607,20155,ge,0.01562888,0.01592455,0.00029567,0.00354174,20155,on,0.01543041,0.01616333,0.00073292,0.00427465,20155,eo,0.01503349,0.01481712,0.00021637,0.00449102,20155,ea,0.0140908,0.01641587,0.00232507,0.00681609,20155,
fragments of psalms psalm 101.txt,me,0.0239521,0.00548407,0.01846802,0.01846802,167,mi,0.01796407,0.00399539,0.01396869,0.03243671,167,in,0.01796407,0.00691479,0.01104928,0.04348599,167,ne,0.01796407,0.01321248,0.00475159,0.04823758,167,en,0.01796407,0.0103992,0.00756487,0.05580245,167,
fragments of psalms psalm 102.txt,an,0.01900238,0.01912302,0.00012064,0.00012064,842,de,0.01900238,0.01264649,0.00635589,0.00647653,842,ne,0.01781473,0.01321248,0.00460224,0.01107878,842,in,0.01781473,0.00691479,0.01089994,0.02197872,842,ea,0.01662708,0.01641587,0.00021121,0.02218993,842,
fragments of psalms psalm 118.txt,an,0.01794872,0.01912302,0.0011743,0.0011743,390,tu,0.01538462,0.00158106,0.01380356,0.01497786,390,um,0.01538462,0.00870711,0.0066775,0.02165537,390,ne,0.01538462,0.01321248,0.00217213,0.0238275,390,ui,0.01282051,0.00026236,0.01255815,0.03638565,390,
fragments of psalms psalm 121.txt,um,0.03448276,0.00870711,0.02577565,0.02577565,145,in,0.02758621,0.00691479,0.02067142,0.04644707,145,tu,0.02758621,0.00158106,0.02600515,0.07245222,145,nu,0.02068966,0.00266588,0.01802377,0.09047599,145,et,0.02068966,0.00297836,0.01771129,0.10818728,145,
fragments of psalms psalm 139.txt,me,0.03076923,0.00548407,0.02528516,0.02528516,130,in,0.03076923,0.00691479,0.02385444,0.0491396,130,ne,0.03076923,0.01321248,0.01755675,0.06669635,130,er,0.02307692,0.00663081,0.01644612,0.08314246,130,em,0.02307692,0.0043737,0.01870322,0.10184569,130,
fragments of psalms psalm 140.txt,in,0.02793296,0.00691479,0.02101817,0.02101817,179,ne,0.02234637,0.01321248,0.00913389,0.03015206,179,re,0.02234637,0.00995112,0.01239524,0.0425473,179,tu,0.01675978,0.00158106,0.01517872,0.05772602,179,mi,0.01675978,0.00399539,0.01276439,0.07049041,179,
fragments of psalms psalm 19.txt,in,0.02298851,0.00691479,0.01607372,0.01607372,174,te,0.02298851,0.00758593,0.01540258,0.0314763,174,um,0.01724138,0.00870711,0.00853427,0.04001057,174,ge,0.01724138,0.01592455,0.00131683,0.0413274,174,ri,0.01724138,0.00395608,0.0132853,0.05461269,174,
fragments of psalms psalm 24.txt,mi,0.01831502,0.00399539,0.01431963,0.01431963,819,em,0.01831502,0.0043737,0.01394132,0.02826095,819,me,0.01831502,0.00548407,0.01283094,0.0410919,819,as,0.01709402,0.00468716,0.01240686,0.05349875,819,in,0.01709402,0.00691479,0.01017923,0.06367798,819,
fragments of psalms psalm 27.txt,um,0.01992032,0.00870711,0.01121321,0.01121321,251,et,0.01992032,0.00297836,0.01694196,0.02815517,251,al,0.01593625,0.00628001,0.00965625,0.03781141,251,in,0.01593625,0.00691479,0.00902147,0.04683288,251,do,0.01195219,0.00355615,0.00839604,0.05522892,251,
fragments of psalms psalm 32.txt,mi,0.02649007,0.00399539,0.02249468,0.02249468,151,er,0.02649007,0.00663081,0.01985926,0.04235394,151,we,0.02649007,0.00656497,0.0199251,0.06227904,151,in,0.01986755,0.00691479,0.01295276,0.0752318,151,ia,0.01324503,0.00106517,0.01217986,0.08741166,151,
fragments of psalms psalm 34.txt,me,0.02321083,0.00548407,0.01772676,0.01772676,517,nd,0.01934236,0.01238511,0.00695725,0.02468401,517,an,0.01547389,0.01912302,0.00364913,0.02833314,517,on,0.01547389,0.01616333,0.00068944,0.02902258,517,um,0.01547389,0.00870711,0.00676678,0.03578936,517,
fragments of psalms psalm 40.txt,ne,0.02512563,0.01321248,0.01191315,0.01191315,199,re,0.02512563,0.00995112,0.0151745,0.02708765,199,me,0.02512563,0.00548407,0.01964155,0.0467292,199,mi,0.0201005,0.00399539,0.01610512,0.06283432,199,em,0.0201005,0.0043737,0.0157268,0.07856112,199,
fragments of psalms psalm 43.txt,an,0.02762431,0.01912302,0.00850129,0.00850129,181,en,0.02762431,0.0103992,0.0172251,0.02572639,181,ne,0.02209945,0.01321248,0.00888696,0.03461336,181,ma,0.02209945,0.00335962,0.01873983,0.05335318,181,ed,0.01657459,0.00422532,0.01234926,0.06570245,181,
fragments of psalms psalm 5.txt,in,0.01726845,0.00691479,0.01035366,0.01035366,637,ge,0.01569859,0.01592455,0.00022596,0.01057962,637,or,0.01569859,0.01089642,0.00480217,0.01538179,637,de,0.01569859,0.01264649,0.0030521,0.01843389,637,ea,0.01412873,0.01641587,0.00228714,0.02072103,637,
